# PIMCID: 234567891
#   elem          X           Y        AREA           W
     254     8.8390      132.32      108.72     0.70606    
     255     8.8267     -140.56      108.41     0.66396    
     256     17.666     -136.96      110.62     0.67821    
     257     35.019     -136.45      106.62     0.66398    
     258     43.530     -131.09      112.40     0.67823    
     259     59.979     -127.49      105.04     0.66400    
     260     67.798     -120.37      113.94     0.67824    
     261     82.822     -114.01      103.72     0.66400    
     262     89.571     -105.21      115.22     0.67823    
     263     102.73     -96.485      102.64     0.66399    
     264     108.04     -86.157      116.25     0.67822    
     265     119.01     -75.532      101.79     0.66398    
     266     122.53     -63.922      117.00     0.67821    
     267     131.06     -51.896      101.18     0.66397    
     268     132.50     -39.323      117.52     0.67820    
     269     138.47     -26.417      100.83     0.66397    
     270     137.58     -13.271      117.79     0.67820    
     271     140.97      0.0000      100.71     0.66396    
     272     137.58      13.271      117.79     0.67820    
     273     138.47      26.417      100.83     0.66397    
     274     132.50      39.323      117.52     0.67821    
     275     131.06      51.896      101.18     0.66398    
     276     122.53      63.922      117.00     0.67822    
     277     119.01      75.532      101.79     0.66399    
     278     108.04      86.157      116.25     0.67823    
     279     102.73      96.485      102.64     0.66399    
     280     89.571      105.21      115.22     0.67823    
     281     82.822      114.01      103.72     0.66399    
     282     67.798      120.37      113.94     0.67823    
     283     59.979      127.49      105.04     0.66399    
     284     43.530      131.09      112.40     0.67821    
     285     35.019      136.45      106.62     0.66397    
     286     17.666      136.96      110.62     0.67819    
     287     8.8267      140.56      108.41     0.66394    
     288     8.8149     -148.79      108.15     0.62014    
     289     17.642     -145.25      110.09     0.63494    
     290     35.004     -144.91      106.52     0.62017    
     291     43.542     -139.71      111.68     0.63497    
     292     60.096     -136.46      105.11     0.62019    
     293     68.022     -129.60      113.08     0.63498    
     294     83.299     -123.69      103.91     0.62019    
     295     90.280     -115.23      114.25     0.63498    
     296     103.88     -107.02      102.90     0.62019    
     297     109.58     -97.078      115.21     0.63497    
     298     121.18     -86.960      102.09     0.62018    
     299     125.30     -75.742      115.96     0.63496    
     300     134.66     -64.155      101.49     0.62017    
     301     136.91     -51.920      116.49     0.63495    
     302     143.90     -39.323      101.08     0.62016    
     303     144.03     -26.393      116.81     0.63494    
     304     148.59     -13.247      100.88     0.62016    
     305     146.43      0.0000      116.92     0.63494    
     306     148.59      13.247      100.88     0.62016    
     307     144.03      26.393      116.81     0.63495    
     308     143.90      39.323      101.08     0.62017    
     309     136.91      51.920      116.49     0.63496    
     310     134.66      64.155      101.49     0.62018    
     311     125.30      75.742      115.96     0.63496    
